Gene	Comparison	Set	Type	Count
Morc2a	hom_vs_het_wt	mrna_as_wt	filtered	364
Morc2a	hom_vs_het_wt	not_used	filtered	471
Morc2a	hom_vs_het_wt	ko_response	filtered	982
Mtor	hom_vs_het_wt	ko_response	unfiltered	NA
Mtor	hom_vs_het_wt	ko_response	filtered	NA
Nadk2	hom_vs_het_wt	ko_response	unfiltered	5981
Nadk2	hom_vs_het_wt	mrna_abnormal	filtered	944
Nadk2	hom_vs_het_wt	mrna_as_wt	filtered	1600
Nadk2	hom_vs_het_wt	not_used	filtered	532
Nadk2	hom_vs_het_wt	ko_response	filtered	5305
Nek9	hom_vs_het_wt	ko_response	unfiltered	1474
Nek9	hom_vs_het_wt	mrna_abnormal	filtered	906
Nek9	hom_vs_het_wt	mrna_as_wt	filtered	115
Nek9	hom_vs_het_wt	not_used	filtered	789
Nek9	hom_vs_het_wt	ko_response	filtered	609
Oaz1	hom_vs_het_wt	ko_response	unfiltered	NA
Oaz1	hom_vs_het_wt	ko_response	filtered	NA
Orc1	hom_vs_het_wt	ko_response	unfiltered	NA
Orc1	hom_vs_het_wt	ko_response	filtered	NA
Otud7b	hom_vs_het_wt	ko_response	unfiltered	2
Otud7b	hom_vs_het_wt	mrna_abnormal	filtered	0
Otud7b	hom_vs_het_wt	mrna_as_wt	filtered	23
Otud7b	hom_vs_het_wt	not_used	filtered	10
Otud7b	hom_vs_het_wt	ko_response	filtered	2
Pdzk1	hom_vs_het_wt	ko_response	unfiltered	0
Pdzk1	hom_vs_het_wt	mrna_abnormal	filtered	0
Pdzk1	hom_vs_het_wt	mrna_as_wt	filtered	0
Pdzk1	hom_vs_het_wt	not_used	filtered	1
Pdzk1	hom_vs_het_wt	ko_response	filtered	1
Pgap2	hom_vs_het_wt	ko_response	unfiltered	NA
Pgap2	hom_vs_het_wt	ko_response	filtered	NA
Pigf	hom_vs_het_wt	ko_response	unfiltered	5096
Pigf	hom_vs_het_wt	mrna_abnormal	filtered	1893
Pigf	hom_vs_het_wt	mrna_as_wt	filtered	1236
Pigf	hom_vs_het_wt	not_used	filtered	778
Pigf	hom_vs_het_wt	ko_response	filtered	3314
Pigl	hom_vs_het_wt	ko_response	unfiltered	NA
Pigl	hom_vs_het_wt	ko_response	filtered	NA
Psph	hom_vs_het_wt	ko_response	unfiltered	119
Psph	hom_vs_het_wt	mrna_abnormal	filtered	51
Psph	hom_vs_het_wt	mrna_as_wt	filtered	771
Psph	hom_vs_het_wt	not_used	filtered	818
Psph	hom_vs_het_wt	ko_response	filtered	344
Rala	hom_vs_het_wt	ko_response	unfiltered	28
Rala	hom_vs_het_wt	mrna_abnormal	filtered	22
Rala	hom_vs_het_wt	mrna_as_wt	filtered	1
Rala	hom_vs_het_wt	not_used	filtered	191
Rala	hom_vs_het_wt	ko_response	filtered	6
RIKEN1700007K13	hom_vs_het_wt	ko_response	unfiltered	0
RIKEN1700007K13	hom_vs_het_wt	ko_response	filtered	NA
Rpgripl1	hom_vs_het_wt	ko_response	unfiltered	72
Rpgripl1	hom_vs_het_wt	ko_response	filtered	NA
Sh3pxd2a	hom_vs_het_wt	ko_response	unfiltered	1
Sh3pxd2a	hom_vs_het_wt	mrna_abnormal	filtered	0
Sh3pxd2a	hom_vs_het_wt	mrna_as_wt	filtered	0
Sh3pxd2a	hom_vs_het_wt	not_used	filtered	0
Sh3pxd2a	hom_vs_het_wt	ko_response	filtered	1
Smc3	hom_vs_het_wt	ko_response	unfiltered	NA
Smc3	hom_vs_het_wt	ko_response	filtered	NA
Smg1	hom_vs_het_wt	ko_response	unfiltered	NA
Smg1	hom_vs_het_wt	ko_response	filtered	NA
Smg9	hom_vs_het_wt	ko_response	unfiltered	6
